City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Winneba,GH,82.87,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
2,Busselton,AU,80.55,scattered clouds,-33.65,115.3333,Observatory Guest House
4,Bengkulu,ID,77.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
5,Rikitea,PF,76.17,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Hithadhoo,MV,81.82,broken clouds,-0.6,73.0833,Scoop Guest House
21,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
23,Lubao,PH,84.22,scattered clouds,14.9167,120.55,Hacienda Gracia
29,Butaritari,KI,83.26,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
35,Sao Jose Da Coroa Grande,BR,77.36,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
39,Geraldton,AU,88.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
44,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
59,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
61,Kavieng,PG,82.47,moderate rain,-2.5744,150.7967,Nusa Island Retreat
66,Ballina,AU,76.96,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
70,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
74,Bobo Dioulasso,BF,79.25,clear sky,11.1771,-4.2979,RAN Hotel Somketa
78,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
81,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Vanimo,PG,86.11,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
86,Kavaratti,IN,81.1,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
87,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
92,Nicoya,CR,76.55,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
93,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
98,Meulaboh,ID,82.76,scattered clouds,4.1363,96.1285,Kost Pria
99,Fayaoue,NC,79.77,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
109,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
122,Souillac,MU,78.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
135,Kupang,ID,88.38,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
136,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
138,Voh,NC,84.65,broken clouds,-20.9667,164.7,Le gîte du Koniambo
139,Yeppoon,AU,85.78,clear sky,-23.1333,150.7333,Villa Mar Colina
144,Atuona,PF,78.53,clear sky,-9.8,-139.0333,Villa Enata
149,Lethem,GY,78.49,scattered clouds,3.3803,-59.7968,Savannah Inn
151,Port Blair,IN,81.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
154,Takoradi,GH,79.72,overcast clouds,4.8845,-1.7554,Raybow International Hotel
161,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
172,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
174,Sinnamary,GF,76.71,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
178,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
189,Edd,ER,78.48,clear sky,13.9297,41.6925,
192,Olinda,BR,76.73,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
199,Noumea,NC,87.78,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
203,Luganville,VU,83.7,broken clouds,-15.5333,167.1667,The Espiritu Hotel
208,Sawakin,SD,78.82,few clouds,19.1059,37.3321,فندق الدويم
210,Warri,NG,78.55,overcast clouds,5.5167,5.75,BON Hotel Delta
214,Dubbo,AU,77.13,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
216,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
218,Tual,ID,82.11,light rain,-5.6667,132.75,Grand Vilia Hotel
229,Kuching,MY,79.02,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
231,Buala,SB,83.57,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
234,Maragogi,BR,77.07,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
237,Merauke,ID,88.56,overcast clouds,-8.4667,140.3333,
238,Kirakira,SB,85.96,broken clouds,-10.4544,161.9205,SanBiz Lodge
239,Madimba,TZ,78.87,broken clouds,-10.4,40.3333,
241,Boyolangu,ID,80.91,overcast clouds,-8.1181,111.8935,Yos ega cv
244,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
247,Cabo San Lucas,MX,78.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
