City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Winneba,GH,5.3511,-0.6231,82.87,84,89,4.14,overcast clouds
1,Codrington,AU,-38.2667,141.9667,63.03,46,0,14.32,clear sky
2,Busselton,AU,-33.65,115.3333,80.55,31,31,8.72,scattered clouds
3,Barrow,US,71.2906,-156.7887,17.62,67,75,21.85,broken clouds
4,Bengkulu,ID,-3.8004,102.2655,77.85,84,100,6.82,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,76.17,72,89,8.79,overcast clouds
6,Fairbanks,US,64.8378,-147.7164,-7.76,71,90,0.0,light snow
7,Lakhipur,IN,26.0299,90.3041,71.91,69,37,6.76,scattered clouds
8,Lavrentiya,RU,65.5833,-171.0,25.18,96,100,17.38,snow
9,Kichera,RU,55.9375,110.0997,20.98,81,100,7.4,overcast clouds
10,Norman Wells,CA,65.282,-126.8329,-39.96,67,20,3.44,few clouds
11,Leningradskiy,RU,69.3833,178.4167,-21.08,92,50,6.06,scattered clouds
12,Alto Araguaia,BR,-17.3147,-53.2153,72.46,82,67,2.89,broken clouds
13,San Patricio,US,28.017,-97.5169,74.89,82,100,10.85,overcast clouds
14,Sitka,US,57.0531,-135.33,30.09,86,75,4.61,light snow
15,Hithadhoo,MV,-0.6,73.0833,81.82,79,76,13.85,broken clouds
16,Vardo,NO,70.3705,31.1107,20.75,72,47,29.64,scattered clouds
17,Khatanga,RU,71.9667,102.5,-23.17,96,100,11.7,overcast clouds
18,Tasiilaq,GL,65.6145,-37.6368,26.76,90,100,49.79,snow
19,Mungwi,ZM,-10.1732,31.3694,62.98,62,1,3.56,clear sky
20,East London,ZA,-33.0153,27.9116,68.86,95,100,20.33,light rain
21,Georgetown,MY,5.4112,100.3354,83.89,71,20,11.99,few clouds
22,Salalah,OM,17.0151,54.0924,73.49,38,0,11.5,clear sky
23,Lubao,PH,14.9167,120.55,84.22,56,26,14.23,scattered clouds
24,New Norfolk,AU,-42.7826,147.0587,73.65,31,0,1.99,clear sky
25,Rio Bueno,CL,-40.3167,-72.9667,57.34,46,0,6.11,clear sky
26,Kargasok,RU,59.0556,80.8572,26.91,96,100,13.24,snow
27,Ushuaia,AR,-54.8,-68.3,47.86,57,75,28.77,broken clouds
28,Anshun,CN,26.25,105.9333,51.69,73,100,4.0,overcast clouds
29,Butaritari,KI,3.0707,172.7902,83.26,78,100,19.71,overcast clouds
30,Cape Town,ZA,-33.9258,18.4232,62.1,90,90,5.01,light rain
31,Punta Arenas,CL,-53.15,-70.9167,46.51,66,20,9.22,few clouds
32,Thompson,CA,55.7435,-97.8558,-11.04,77,40,4.61,light snow
33,Ponta Do Sol,PT,32.6667,-17.1,65.03,67,90,9.33,overcast clouds
34,Yellowknife,CA,62.456,-114.3525,-26.88,68,1,8.05,clear sky
35,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.36,86,40,9.01,scattered clouds
36,Lewistown,US,40.5992,-77.5714,44.01,39,1,5.75,clear sky
37,San Jose,US,37.3394,-121.895,55.11,85,40,8.05,scattered clouds
38,Komsomolskiy,UZ,40.4272,71.7189,39.92,75,100,4.61,mist
39,Geraldton,AU,-28.7667,114.6,88.21,33,0,13.8,clear sky
40,Bluff,NZ,-46.6,168.3333,51.8,79,100,11.81,overcast clouds
41,Mataura,NZ,-46.1927,168.8643,51.48,99,100,4.61,overcast clouds
42,Jamestown,US,42.097,-79.2353,36.72,83,1,4.0,clear sky
43,Katsuura,JP,35.1333,140.3,55.18,60,63,13.89,broken clouds
44,Cayenne,GF,4.9333,-52.3333,75.24,92,75,0.0,broken clouds
45,Port Alfred,ZA,-33.5906,26.891,67.93,94,100,26.42,light rain
46,Belousovka,KZ,50.1339,82.5239,11.25,92,90,0.0,fog
47,San Juan,AR,-31.5375,-68.5364,67.1,61,98,5.75,overcast clouds
48,Stornoway,GB,58.2093,-6.3865,33.76,86,40,6.91,scattered clouds
49,Pachino,IT,36.7186,15.0907,46.44,73,0,14.52,clear sky
50,Saint George,US,37.1041,-113.5841,52.79,39,1,0.0,clear sky
51,Mar Del Plata,AR,-38.0023,-57.5575,62.1,86,100,1.99,overcast clouds
52,Serenje,ZM,-13.2325,30.2352,62.22,62,2,2.19,clear sky
53,Nehe,CN,48.4833,124.8333,18.66,91,80,9.44,broken clouds
54,Upernavik,GL,72.7868,-56.1549,21.67,73,100,6.85,overcast clouds
55,Seoul,KR,37.5683,126.9778,41.41,41,0,3.44,clear sky
56,Cherskiy,RU,68.75,161.3,-38.83,100,74,2.26,broken clouds
57,Darhan,MN,49.4867,105.9228,18.52,75,99,1.72,overcast clouds
58,Airai,TL,-8.9266,125.4092,74.88,61,100,1.61,overcast clouds
59,Vaini,TO,-21.2,-175.2,84.36,74,75,12.66,broken clouds
60,Lata,PT,40.1629,-8.3327,51.82,78,77,7.18,broken clouds
61,Kavieng,PG,-2.5744,150.7967,82.47,80,100,16.17,moderate rain
62,Dikson,RU,73.5069,80.5464,-11.18,98,100,20.65,light snow
63,Ola,RU,59.5833,151.2833,1.94,90,99,8.79,overcast clouds
64,Arraial Do Cabo,BR,-22.9661,-42.0278,72.48,82,5,10.56,clear sky
65,Perigueux,FR,45.1833,0.7167,41.18,91,100,7.76,light rain
66,Ballina,AU,-28.8667,153.5667,76.96,65,75,14.97,broken clouds
